遥感：remote sensing
虚拟现实：virtual reality
毛泽东：Mao Zedong
区域经济：Regional economy
思想政治工作：ideological and political work
土壤侵蚀：soil erosion
水环境：water environment
河北省：Hebei Province
价值取向：value orientation
对比研究：comparative study
福建省：Fujian province
江苏省：Jiangsu Province
法律制度：legal system
对外贸易：Foreign trade
江泽民：Jiang Zemin
宋代：Song Dynasty
空气污染：air pollution
黑龙江省：Heilongjiang province
明代：Ming Dynasty
文化内涵：cultural connotation
先进文化：Advanced Culture
社会发展：social development
安徽省：Anhui Province
地震预报：Earthquake prediction
民族精神：national spirit
新时期：new period
中国文化：Chinese culture
相对湿度：relative humidity
教育改革：educational reform
空间格局：spatial pattern
苏轼：Su Shi
学校体育：School physical education
民主政治：democratic politics
自然资源：natural resources
汉代：Han Dynasty
个案研究：Case study
市民社会：Civil society
家庭教育：Family education
太湖：Taihu Lake
社会实践：social practice
沈从文：Shen Congwen
学校教育：school education
化学清洗：chemical cleaning
梁启超：Liang Qichao
科学精神：scientific spirit
中国共产党：Communist Party of China
朱熹：Zhu Xi
评价研究：Evaluation studies
近代：Modern Times
公共空间：public space
近代中国：modern China
发展方向：development direction
唯物史观：historical materialism
文化背景：cultural background
社会网络：social network
汉族：Han nationality
农业经济：agricultural economy
社会转型：social transition
抗日战争：Anti-Japanese War
社会结构：social structure
艺术设计：art design
社会福利：Social welfare
美国：United States
政治发展：political development
清代：the Qing Dynasty
跨国公司：transnational corporation
法制：legal system
社会控制：social control
管理制度：management system
孙中山：Sun Yat-sen
鄱阳湖：Poyang Lake
东北地区：Northeast China
唐代：the Tang Dynasty
铁矿石：iron ore
晚清：late Qing Dynasty
东南亚：Southeast Asia
行政法：Administrative law
人类活动：Human activity
国民经济：national economy
国家安全：National security
精神文明：spiritual civilization
会计制度：accounting system
比较文学：comparative literature
教育思想：educational thought
渤海：Bohai Sea
华北：North China
畜牧业：Animal husbandry
统一战线：united front
现代价值：modern value
湖南：Hunan Province
现代设计：modern design
原料：raw material
考证：Textual research
理论与实践：theory and practice
社会公正：Social Justice
现代教育：modern education
河西走廊：Hexi Corridor
内容分析：Content analysis
网络营销：Network Marketing
农业机械：agricultural machinery
西方文化：western culture
和谐世界：Harmonious World
长江三角洲：Yangtze River Delta
自然灾害：natural disasters
山东：Shandong province
中亚：Central Asia
所得税：income tax
宪政：constitutional government
长白山：Changbai Mountain
严复：YAN Fu
社会分层：social stratification
福建：Fujian Province
土地管理：land management
文化认同：cultural identity
社会心理：Social psychology
社会价值：social value
西部开发：western development
经济危机：economic crisis
江西：Jiangxi Province
法律文化：legal culture
腐蚀机理：corrosion mechanism
人事管理：Personnel management
江苏：Jiangsu Province
冷战：Cold War
教育功能：educational function
城市文化：urban culture
儒家文化：Confucian culture
农业发展：agricultural development
韩愈：HAN Yu
化学分析：chemical analysis
老舍：Lao she
文化传统：cultural tradition
藏传佛教：Tibetan Buddhism
土地制度：land system
丁玲：Ding Ling
政府管制：government regulation
社会经济：social economy
国际关系：international relations
政治社会化：Political socialization
公共领域：Public sphere
民国：the Republic of China
经济政策：economic policy
商品经济：commodity economy
黄河三角洲：The Yellow River Delta
张謇：Zhang Jian
古希腊：Ancient Greece
公有制：public ownership
周恩来：Zhou Enlai
学术研究：academic research
外交政策：Foreign policy
蔡元培：Cai Yuanpei
室内环境：Indoor Environment
城市空间结构：Urban Spatial Structure
文化精神：cultural spirit
明朝：Ming Dynasty
生活世界：life world
研究性学习：research learning
广东：Guangdong Province
国家利益：National interests
异同：similarities and differences
社会地位：social status
高考：College Entrance Examination
知情权：right to know
陶行知：Tao Xingzhi
水权：water rights
陈云：CHEN Yun
财产权：property right
劳动力：labor force
安徽：Anhui Province
环境政策：environmental policy
农村人口：Rural population
制度分析：institutional analysis
传统教育：traditional education
旅游开发：tourism exploitation
壮族：Zhuang nationality
文化整合：Cultural integration
世界遗产：world heritage
地理教学：geography teaching
社会教育：Social education
人事制度：Personnel system
审美文化：aesthetic culture
社会政策：social policy
文化意识：cultural awareness
贸易政策：trade policy
体育产业：sport industry
公法：public law
银行业：banking industry
沙尘暴：dust storm
行政权：administrative power
铁路建设：railway construction
文化生态：cultural ecology
心理分析：psychological analysis
三峡：Three Gorges
唐朝：Tang dynasty
行政伦理：administrative ethics
民俗文化：folk culture
苏联：Soviet Union
政治制度：political system
羌塘盆地：Qiangtang Basin
温度监测：temperature monitoring
土家族：Tujia nationality
社会背景：social background
地理环境：geographical environment
社会生活：social life
艺术价值：artistic value
曾国藩：Zeng Guofan
教学法：teaching methods
刘少奇：Liu Shaoqi
现实意义：realistic significance
中华民族：Chinese nation
文化资本：cultural capital
社会变迁：social changes
清末：late Qing Dynasty
社区发展：Community development
社会救助：Social assistance
国际政治：international politics
康有为：Kang Youwei
环境变化：Environmental change
陈独秀：CHEN Du-xiu
欧洲一体化：European integration
新闻报道：news report
舆论：Public opinion
中华文化：Chinese culture
世界历史：world history
民间文学：folk literature
海洋经济：marine economy
管理科学：management science
审美意识：Aesthetic Consciousness
山东半岛：Shandong peninsula
社会角色：social role
美国梦：American dream
消费文化：consumption culture
宗教文化：religious culture
中子活化分析：Neutron activation analysis
地方经济：local economy
城市体系：urban system
政治稳定：political stability
西方马克思主义：Western Marxism
社会性别：Social gender
审美心理：aesthetic psychology
中国西部：Western China
政治思想：political thought
政治体制：political system
文化自觉：cultural consciousness
社会秩序：social order
政治现代化：political modernization
孝：Filial piety
党的建设：party construction
社会流动：social mobility
区域文化：regional culture
丝织物：silk fabric
历史背景：Historical background
楚文化：Chu culture
文体特征：stylistic features
土地政策：Land Policy
法制建设：legal construction
社会正义：social justice
回族：Hui nationality
主体意识：subject consciousness
风蚀：wind erosion
书评：book review
工会：trade unions
学术价值：academic value
系统功能语法：systemic functional grammar
习惯法：customary law
发展阶段：development stage
对外开放：opening to the outside world
民族意识：national consciousness
人生观：outlook on life
瞿秋白：Qu Qiubai
苗族：Miao nationality
淮河流域：Huaihe River Basin
历史地位：historical status
政党：Political Party
执政党：ruling party
美国英语：American English
族群：Ethnic Group
政府：the government
明清时期：Ming and Qing Dynasties
古籍：ancient books
嵇康：Ji Kang
南京国民政府：Nanjing National Government
社会影响：social influence
《孙子兵法》：Military Science of Sun Tzu
石油工业：petroleum industry
文化多样性：cultural diversity
西欧：Western Europe
社会问题：social problem
宋朝：Song Dynasty
李大钊：Li Dazhao
道德人格：moral personality
市场体系：market system
经济效应：economic effects
北宋：The Northern Song Dynasty
经济思想：economic thought
学术史：academic history
价值判断：Value judgment
台湾问题：Taiwan issue
历史文化：History and Culture
基地建设：base construction
民间文化：folk culture
国民政府：National Government
南非：South Africa
欧阳修：Ouyang Xiu
曹操：Cao Cao
民间艺术：folk art
入世：entry into WTO
李贽：Li Zhi
能源政策：energy policy
中世纪：Middle Ages
转基因动物：transgenic animal
德治：rule of virtue
资源保护：resource protection
世界经济：world economy
实事求是：seek truth from facts
自然选择：natural selection
中日关系：Sino-Japanese relations
家庭结构：family structure
现代意义：modern significance
华侨：Overseas Chinese
户籍制度：household registration system
王国维：WANG Guo-wei
本义：original meaning
元代：the Yuan Dynasty
经济改革：Economic reform
STS教育：STS education
发展观：development view
曹植：Cao Zhi
民国时期：the period of the Republic of China
医疗：medical treatment
组织管理：organization and management
人口迁移：population migration
逻辑起点：logical starting point
区域开发：regional development
伊拉克战争：Iraq war
权力结构：power structure
文化人类学：Cultural Anthropology
叙事艺术：narrative art
桐油：Tung oil
地区差异：regional difference
工业革命：industrial revolution
元朝：Yuan Dynasty
中央政府：central government
就业政策：employment policy
松花江：Songhua River
科举制度：Imperial examination system
政党政治：party politics
物相分析：phase analysis
华南地区：South China
中学教师：Middle school teachers
建筑风格：architectural style
文化信息：Cultural information
袁枚：Yuan Mei
陆游：Lu You
中东：Middle East
国家公园：national park
教育制度：Educational System
人口结构：Population structure
人际交往：interpersonal communication
韩非：Han fei
洋务运动：Westernization Movement
社会建设：Social Construction
陆机：Lu Ji
明清：the Ming and Qing Dynasties
民族教育：national education
和谐管理：harmonious management
思维模式：thinking mode
《论语》：The Analects of Confucius
《左传》：Zuo Zhuan
科学传播：science communication
运作机制：operation mechanism
教育资源：education resource
文化批判：cultural criticism
叙事时间：Narrative time
抗战时期：anti-Japanese war
物质文化：material culture
工人阶级：working class
湖湘文化：HuXiang culture
行政区划：Administrative Division
艺术美：artistic beauty
巴金：Ba Jin
言论自由：freedom of speech
科学体系：Scientific system
西汉：Western Han dynasty
乡村社会：rural society
族群认同：ethnic identity
道德价值：moral value
中产阶级：Middle Class
土地改革：Land Reform
金沙江：Jinsha River
天人合一：harmony between man and nature
历史价值：Historical value
地方自治：local autonomy
对外政策：foreign policy
科学文化：scientific culture
社会意义：social significance
区位商：location quotient
地方文化：local culture
公民教育：Citizen education
阶级斗争：class struggle
成都平原：Chengdu plain
教材建设：textbook construction
地图投影：map projection
商代：Shang dynasty
延边地区：Yanbian area
青年学生：Young students
曹丕：Cao Pi
行政效率：administrative efficiency
税收负担：Tax Burden
专利制度：Patent system
地方性知识：local knowledge
艺术风格：art style
南宋：Southern Song Dynasty
金代：Jin Dynasty
知识生产：knowledge production
婚姻家庭：marriage and family
建筑艺术：architectural art
利玛窦：Matteo Ricci
文学价值：literary value
粮食产量：Grain yield
批评话语分析：critical discourse analysis
农业政策：Agricultural policy
当代意义：contemporary significance
中西文化：Chinese and Western cultures
红砂岩：red sandstone
师范教育：teacher education
地理要素：geographical elements
美国高等教育：American higher education
家族文化：family culture
人口密度：population density
战略地位：strategic position
休闲体育：leisure sport
武术文化：Wushu culture
新变化：new changes
区域分布：regional distribution
朝鲜半岛：Korean Peninsula
地方财政：local finance
福利国家：welfare state
经济因素：economic factors
中国北方：North China
中子衍射：neutron diffraction
行政体制：administrative system
中国近代：Modern China
出版业：publishing industry
共产党：Communist Party
农业推广：Agricultural extension
宪法：the constitution
民间信仰：Folk Beliefs
学术交流：Academic Exchange
历史意义：Historical significance
电信业：telecommunication industry
外语教育：foreign language education
软权力：soft power
历史观：conception of history
新民主主义：new democracy
商业文化：commercial culture
生存环境：living environment
对话教学：dialogue teaching
保护利用：protection and utilization
教育实践：Education Practice
表达模式：Expression pattern
太平天国：the Taiping Heavenly Kingdom
政治教育：political education
精英文化：elite culture
新文化运动：New Culture Movement
旅游文化：tourist culture
地方文献：local documents
道路网络：road network
三江平原：the Sanjiang Plain
滇西：western Yunnan
经济制度：economic system
制度文化：system culture
清朝：the Qing Dynasty
人生哲学：Life Philosophy
北京大学：Peking University
林则徐：Lin Zexu
李觏：LI Gou
发展状况：development status
减灾：disaster reduction
经济开发：Economic Development
人类社会：human society
行政补偿：administrative compensation
国际环境：International environment
民意：public opinion
普通法：common law
马克思主义中国化：Marxism in China
句式：sentence pattern
叶圣陶：Ye Shengtao
独立人格：independent personality
钱穆：Qian Mu
防灾：disaster prevention
文化管理：cultural management
环境演变：environmental evolution
历史时期：historical period
城市现代化：Urban modernization
丰子恺：Feng Zikai
文学史：literature history
文人画：literati painting
历史渊源：historical origin
正定：positive definite
教育人类学：educational anthropology
市场经济体制：Market economy system
新经济政策：New Economic Policy
王安石：WANG An-shi
商会：chamber of commerce
机理研究：mechanism research
价值评价：value evaluation
自然观：view of nature
封建社会：Feudal Society
乡土建筑：Vernacular architecture
共产国际：the Communist International
语言政策：language policy
关中地区：Guanzhong region
社会关系：social relation
西湖：West Lake
人文地理学：human geography
社会意识：social consciousness
证据制度：Evidence system
集体记忆：collective memory
《世说新语》：Shi Shuo Xin Yu
民主社会主义：democratic socialism
经济职能：economic function
郭嵩焘：Guo Songtao
刘向：Liu Xiang
经学：Confucian Classics
饮食文化：diet culture
藏北：northern Tibet
