神经网络：neural network
数据挖掘：data mining
控制系统：control system
遥感：remote sensing
聚类分析：cluster analysis
虚拟现实：virtual reality
现状：present situation
重金属：Heavy metal
环境保护：environmental protection
肺癌：lung cancer
实验研究：experimental study
主成分分析：principal component analysis
粉煤灰：fly ash
数值分析：numerical analysis
经济发展：economic development
优化设计：optimum design
循环经济：circular economy
水质：Water quality
活性炭：activated carbon
自动控制：automatic control
热稳定性：thermal stability
正交试验：orthogonal test
气候变化：climate change
定量分析：Quantitative analysis
统计分析：statistical analysis
研究进展：research progress
地理信息系统：Geographic Information System
综合利用：comprehensive utilization
图像融合：image fusion
控制策略：control strategy
太阳能：solar energy
低温：low temperature
价值链：value chain
城市规划：urban planning
安全管理：safety management
毛细管电泳：Capillary electrophoresis
绩效管理：performance management
水处理：water treatment
模糊逻辑：fuzzy logic
气相色谱法：Gas chromatography
磁场：magnetic field
碳纤维：carbon fiber
思想政治工作：ideological and political work
二氧化钛：titanium dioxide
水土保持：Soil and water conservation
软件设计：software design
pH值：pH value
动态规划：dynamic programming
模糊综合评价：fuzzy comprehensive evaluation
饮用水：drinking water
风险评估：risk assessment
密度泛函理论：density functional theory
水环境：water environment
内蒙古：Inner Mongolia
能耗：energy consumption
系统仿真：system simulation
地方政府：local government
脂质过氧化：lipid peroxidation
煤矿：coal mine
山东省：Shandong Province
表面处理：surface treatment
催化氧化：catalytic oxidation
DNA损伤：DNA damage
监控系统：Monitoring system
生态足迹：ecological footprint
景观格局：Landscape pattern
表面张力：surface tension
数字图像处理：digital image processing
土壤水分：soil moisture
模糊综合评判：Fuzzy comprehensive evaluation
政治文明：political civilization
吉林省：Jilin province
流化床：fluidized bed
经济分析：economic analysis
系统动力学：system dynamics
铜绿假单胞菌：pseudomonas aeruginosa
急性毒性：acute toxicity
微波辐射：microwave irradiation
预测模型：prediction model
江苏省：Jiangsu Province
分子动力学：molecular dynamics
浙江省：Zhejiang province
原油：crude oil
公众参与：public participation
空间分析：spatial analysis
数据集成：Data integration
可持续利用：Sustainable utilization
水污染：water pollution
正交实验：orthogonal experiment
微波消解：Microwave digestion
数据传输：data transmission
对外贸易：Foreign trade
结构分析：structure analysis
膜污染：membrane fouling
活性污泥：activated sludge
自然保护区：nature reserve
空气污染：air pollution
串口通信：serial communication
多孔介质：porous media
汶川地震：Wenchuan earthquake
硫化氢：hydrogen sulfide
持续发展：sustainable development
柠檬酸：citric acid
金矿：gold deposit
分子生物学：molecular biology
污水处理：sewage treatment
社会责任：social responsibility
管理模式：Management Model
循环伏安法：Cyclic voltammetry
环境监测：environmental monitoring
膜分离：Membrane separation
相图：phase diagram
实物期权：real option
广东省：Guangdong Province
动态变化：dynamic change
乡村旅游：rural tourism
价值工程：value engineering
物理化学：physical chemistry
