有限元：finite element
模糊控制：Fuzzy control
控制系统：control system
力学性能：mechanical property
模式识别：pattern recognition
自适应控制：adaptive control
模态分析：Modal analysis
温度控制：temperature control
最优控制：optimal control
鲁棒控制：robust control
模糊逻辑：fuzzy logic
磁场：magnetic field
分形维数：fractal dimension
航空、航天推进系统：aerospace propulsion system
机器学习：machine learning
预测控制：predictive control
振动控制：vibration control
热分析：Thermal analysis
模糊综合评判：Fuzzy comprehensive evaluation
变结构控制：variable structure control
微分方程：differential equation
空间分析：spatial analysis
两相流：two-phase flow
概念设计：conceptual design
串口通信：serial communication
参数辨识：parameter identification
电场：Electric field
并行工程：concurrent engineering
BP网络：BP network
滑模控制：Sliding Mode Control
误差补偿：error compensation
汽油机：gasoline engine
数控加工：NC machining
动态特性：Dynamic characteristic
可靠性分析：reliability analysis
动力分析：dynamic analysis
主动控制：Active control
电磁兼容：electromagnetic compatibility
相变：phase transformation
温度传感器：Temperature Sensor
拓扑优化：topology optimization
故障树：fault tree
运动补偿：motion compensation
数据通信：data communication
数字仿真：digital simulation
非线性控制：nonlinear control
边界层：Boundary layer
姿态控制：attitude control
光学设计：optical design
电磁散射：electromagnetic scattering
知识获取：knowledge acquisition
时间序列分析：time series analysis
光学测量：optical measurement
科学管理：scientific management
可靠性设计：Reliability design
数字滤波：digital filter
冷却系统：Cooling system
飞行控制：flight control
蒙特卡罗方法：Monte Carlo method
系统结构：system structure
Lyapunov指数：Lyapunov exponent
红外辐射：infrared radiation
设备驱动程序：Device driver
混合遗传算法：Hybrid Genetic Algorithm
精度分析：accuracy analysis
激波：shock wave
半主动控制：semi-active control
坐标变换：coordinate transformation
无刷直流电动机：brushless DC motor
学习算法：learning algorithm
系统模型：system model
电子束：Electron beam
鲁棒稳定性：robust stability
AR模型：AR model
输出反馈：output feedback
伺服控制：servo control
频率响应：Frequency response
固体推进剂：solid propellant
动力学分析：dynamic analysis
模糊PID：fuzzy PID
全球定位系统：global positioning system
成组技术：Group Technology
大涡模拟：large eddy simulation
电流密度：current density
接口电路：interface circuit
固体火箭发动机：solid rocket motor
旋转机械：rotating machinery
无源定位：Passive location
反馈线性化：Feedback Linearization
含水率：moisture content
固化剂：curing agent
化学反应：Chemical reaction
过渡态：Transition state
疲劳裂纹：fatigue crack
贝叶斯网络：Bayesian networks
失效概率：failure probability
性能评估：performance evaluation
测试方法：Test method
Kalman滤波：Kalman filtering
样条函数：spline function
燃烧室：Combustion chamber
高性能：High performance
微机控制：microcomputer control
高精度：High accuracy
热阻：thermal resistance
逆问题：inverse problem
巡航导弹：cruise missile
光学系统：Optical system
遥控：remote control
威布尔分布：Weibull distribution
有限状态机：Finite state machine
模糊决策：fuzzy decision
初始对准：initial alignment
轨迹规划：trajectory planning
VXI总线：VXI bus
非线性模型：nonlinear model
热变形：hot deformation
风洞：wind tunnel
疲劳断裂：fatigue fracture
雷达散射截面：radar cross section
模拟实验：simulation experiment
特征匹配：feature matching
分子设计：Molecular design
温升：temperature rise
品质因数：quality factor
热模拟：thermal simulation
数字地球：digital earth
制冷系统：refrigeration system
控制理论：control theory
动态调度：dynamic scheduling
数值积分：Numerical integration
压力控制：pressure control
对象模型：object model
弹道导弹：ballistic missile
故障树分析：fault tree analysis
特征识别：feature recognition
电晕放电：corona discharge
惯性导航：inertial navigation
奇异摄动：singular perturbation
广义逆：generalized inverse
减阻：drag reduction
非定常流动：unsteady flow
武器系统：Weapon system
频谱分析：spectral analysis
跟踪控制：tracking control
失效机理：failure mechanism
数字地图：digital map
Navier-Stokes方程：Navier-Stokes equations
运载火箭：Launch vehicle
机载雷达：Airborne radar
寿命：service life
误差模型：error model
振动主动控制：active vibration control
极限环：Limit cycles
网络控制：network control
状态空间：State space
案例推理：case-based reasoning
模型修正：model updating
嵌入式技术：embedded technology
形状优化：shape optimization
玻璃化转变温度：glass transition temperature
PXI总线：PXI Bus
超声电机：ultrasonic motor
作战效能：operational effectiveness
模型预测控制：model predictive control
组合导航系统：Integrated Navigation System
流动显示：flow visualization
非定常流：unsteady flow
火控系统：fire control system
晶间腐蚀：intergranular corrosion
可视化仿真：visual simulation
知识约简：knowledge reduction
二次流：secondary flow
圆柱壳：cylindrical shell
气膜冷却：film cooling
嵌入式软件：embedded software
多普勒雷达：Doppler radar
压力损失：pressure loss
磁流体：magnetic fluid
质量监督：quality supervision
马尔可夫模型：Markov model
应用化学：applied chemistry
数学规划：mathematical programming
GPS接收机：GPS receiver
换热系数：heat transfer coefficient
自然循环：natural circulation
插入损耗：insertion loss
消光比：extinction ratio
电磁力：electromagnetic force
拉普拉斯变换：Laplace transform
关键技术：key techniques
多学科设计优化：multidisciplinary design optimization
铝基复合材料：aluminum matrix composite
工作过程：working process
化学动力学：chemical kinetics
半实物仿真：hardware-in-the-loop simulation
残余应力：residual stresses
速度分布：Velocity distribution
接触问题：contact problem
启发式搜索：heuristic search
动态矩阵控制：Dynamic matrix control
减振器：shock absorber
模态参数：Modal parameter
神经网络控制：neural network control
数据拟合：data fitting
液体火箭发动机：liquid rocket engine
机械系统：mechanical system
Hilbert变换：Hilbert transform
谐振频率：resonance frequency
导航系统：Navigation system
CFD模拟：CFD simulation
时间常数：Time constant
炭纤维：Carbon fiber
装备保障：equipment support
互耦：Mutual coupling
电子设备：electronic equipment
空中交通管制：air traffic control
结构动力学：structural dynamics
机动目标：maneuvering target
流量系数：flow coefficient
智能设计：intelligent design
条件数：Condition number
分布规律：distribution law
T-S模型：T-S model
火箭发动机：Rocket engine
微动磨损：fretting wear
逆系统：inverse system
模型辨识：Model Identification
燃烧效率：combustion efficiency
被动控制：passive control
液压泵：Hydraulic pump
模型设计：model design
耦合系数：coupling coefficient
泊松比：Poisson's ratio
演化算法：evolutionary algorithm
代价函数：cost function
